sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1g_v1_g000_t0_b0_p0,src_00,silicon_die_lower,1,3.7861505487738934e-06,0.11259609337338584,0.4503843734935434,118955.74877216539,11.89557487721654,4.2297363281249905e-10,1064804844.9232657,462,11,14,3,10,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p0,src_01,silicon_die_lower,2,2.68996327259438e-06,0.08827068619410937,0.3530827447764375,131259.31806343995,13.125931806343994,2.9663085937499933e-10,1190310224.3656716,324,9,12,3,8,11,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p0,src_02,silicon_die_lower,5,3.4994379785327137e-06,0.101868366945723,0.407473467782892,116439.68839640426,11.643968839640426,3.4606933593749927e-10,1177433032.831555,378,9,14,3,8,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p0,src_03,silicon_die_lower,6,5.121348627475484e-06,0.1616897423361194,0.6467589693444776,126286.84676428497,12.628684676428497,5.712890624999987e-10,1132104589.0747805,624,13,16,3,12,15,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p0,src_04,silicon_die_upper,1,3.5637349483756833e-06,0.13457391304228342,0.5382956521691337,151048.17276449915,15.104817276449914,5.169677734375002e-10,1041255721.9762789,616,11,14,4,10,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p0,src_05,silicon_die_upper,2,3.5002219226170407e-06,0.12000418438475854,0.4800167375390342,137138.94380163643,13.713894380163643,4.69970703125e-10,1021375873.7453942,560,10,14,4,9,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p0,src_06,silicon_die_upper,5,3.8608459892527515e-06,0.13468659512863773,0.5387463805145509,139541.0182157571,13.95410182157571,5.673217773437502e-10,949631059.5320494,676,13,13,4,12,12,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p0,src_07,silicon_die_upper,6,4.266471815280142e-06,0.14631041859498267,0.5852416743799307,137172.28185685386,13.717228185685386,6.277465820312501e-10,932289702.774991,748,11,17,4,10,16,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_00,silicon_die_lower,1,3.7861505487738934e-06,0.11259609337338584,0.6755765602403151,178433.62315824808,17.84336231582481,4.2297363281249905e-10,1597207267.3848987,462,11,14,3,10,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_01,silicon_die_lower,2,2.68996327259438e-06,0.08827068619410937,0.5296241171646562,196888.97709515988,19.688897709515988,2.9663085937499933e-10,1785465336.5485075,324,9,12,3,8,11,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_02,silicon_die_lower,5,3.4994379785327137e-06,0.101868366945723,0.611210201674338,174659.5325946064,17.46595325946064,3.4606933593749927e-10,1766149549.2473326,378,9,14,3,8,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_03,silicon_die_lower,6,5.121348627475484e-06,0.1616897423361194,0.9701384540167164,189430.27014642744,18.943027014642745,5.712890624999987e-10,1698156883.6121707,624,13,16,3,12,15,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_04,silicon_die_upper,1,3.5637349483756833e-06,0.13457391304228342,0.8074434782537006,226572.25914674875,22.657225914674875,5.169677734375002e-10,1561883582.9644184,616,11,14,4,10,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_05,silicon_die_upper,2,3.5002219226170407e-06,0.12000418438475854,0.7200251063085512,205708.41570245463,20.570841570245463,4.69970703125e-10,1532063810.618091,560,10,14,4,9,13,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_06,silicon_die_upper,5,3.8608459892527515e-06,0.13468659512863773,0.8081195707718264,209311.52732363564,20.931152732363564,5.673217773437502e-10,1424446589.298074,676,13,13,4,12,12,p1g_v1_g000,train
p1g_v1_g000_t0_b0_p1,src_07,silicon_die_upper,6,4.266471815280142e-06,0.14631041859498267,0.877862511569896,205758.42278528083,20.575842278528082,6.277465820312501e-10,1398434554.1624866,748,11,17,4,10,16,p1g_v1_g000,train
p1g_v1_g000_t0_b1_p0,src_00,silicon_die_lower,1,3.7861505487738934e-06,0.11259609337338584,0.4503843734935434,118955.74877216539,11.89557487721654,4.2297363281249905e-10,1064804844.9232657,462,11,14,3,10,13,p1g_v1_g000,train
